_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-01,260941,430764,258013,194805,319822,260941,261086,216073,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.2,5.7,5.0,2.2,8.9,6.2,5.6,-0.9,-0.1,-1.1,-1.3,4.1,-0.5,-1.7,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,60608,55619,4989
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-02,258788,428190,255738,193426,320447,260011,258204,214287,99.2,99.4,99.1,99.3,100.2,99.6,98.9,99.2,4.2,5.3,4.1,0.9,6.2,4.9,4.6,-0.8,-0.6,-0.9,-0.7,0.2,-1.1,-0.8,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,59690,54543,5147
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-03,255885,424426,252594,192269,323135,258531,255807,210299,98.1,98.5,97.9,98.7,101.0,99.1,98.0,97.3,2.7,3.6,2.4,1.0,7.2,3.3,2.2,-1.1,-0.9,-1.2,-0.6,0.8,-0.9,-1.9,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,70607,62673,7934
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-04,256479,424716,253197,192356,323505,258197,256474,211281,98.3,98.6,98.1,98.7,101.2,98.9,98.2,97.8,1.7,2.7,1.4,-0.2,7.7,2.7,0.9,0.2,0.1,0.2,0.0,0.1,0.3,0.5,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,52097,47038,5059
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-05,257330,422381,254108,195037,322938,257988,256263,212695,98.6,98.1,98.5,100.1,101.0,98.9,98.2,98.4,0.9,1.2,0.6,0.5,7.3,1.0,0.5,0.3,-0.5,0.4,1.4,-0.2,-0.1,0.7,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,56484,50908,5576
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-06,258275,423828,255517,193937,313423,257797,257278,214878,99.0,98.4,99.0,99.6,98.0,98.8,98.5,99.4,0.1,0.6,-0.1,-1.9,2.4,0.6,0.1,0.4,0.3,0.6,-0.6,-2.9,0.4,1.0,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,70796,61400,9396
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-07,261182,428922,257975,195054,326363,257894,261565,216925,100.1,99.6,100.0,100.1,102.0,98.8,100.2,100.4,-0.7,0.0,-1.0,-2.1,4.9,-0.1,-1.0,1.1,1.2,1.0,0.6,4.1,1.7,1.0,2023-07,1,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,65177,61091,4086
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-08,262602,431657,259559,195719,323993,258002,262101,218944,100.6,100.2,100.6,100.5,101.3,98.9,100.4,101.3,-1.0,-0.5,-1.2,-2.3,4.0,-0.5,-1.1,0.5,0.6,0.6,0.3,-0.7,0.2,0.9,2023-08,1,2023-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,72741,67930,4811
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-09,261318,428518,258368,195619,320669,257193,260519,217842,100.1,99.5,100.1,100.4,100.3,98.6,99.8,100.8,-1.7,-1.6,-1.9,-2.1,3.2,-1.5,-1.8,-0.5,-0.7,-0.5,-0.1,-1.0,-0.6,-0.5,2023-09,1,2023-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,71120,64915,6205
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-10,260129,425957,256857,194826,326811,256804,260280,216282,99.7,98.9,99.6,100.0,102.2,98.4,99.7,100.1,-2.1,-2.5,-2.5,-2.2,5.0,-1.7,-2.2,-0.5,-0.6,-0.6,-0.4,1.9,-0.1,-0.7,2023-10,1,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,68773,63204,5569
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-11,258368,426134,254992,192701,327497,255940,258799,214014,99.0,98.9,98.8,98.9,102.4,98.1,99.1,99.0,-2.6,-2.3,-3.0,-2.9,3.7,-2.1,-3.2,-0.7,0.0,-0.7,-1.1,0.2,-0.6,-1.0,2023-11,1,2023-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,67173,61517,5656
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/2023-12,256177,418631,253225,191890,315715,254721,256370,213287,98.2,97.2,98.1,98.5,98.7,97.6,98.2,98.7,-2.7,-2.9,-3.0,-2.8,2.8,-2.3,-3.0,-0.8,-1.8,-0.7,-0.4,-3.6,-0.9,-0.3,2023-12,1,2023-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,64072,55866,8206
